story_id,story_title,slot,expected_path,image_prompt
1,"التاجر الصغير الأمين",cover,/public/images/stories/1/cover.png,"A vibrant illustration in minimal kids book style showing a 12-year-old Saudi boy (Kareem) wearing a white thobe and red shemagh, standing proudly in front of a traditional Medina marketplace (souq). The background shows the iconic green dome of Prophet's Mosque. The scene is warm and welcoming, with traditional Arabic architectural elements and market stalls visible. Kareem's expression is kind and confident."
1,"التاجر الصغير الأمين",page-1,/public/images/stories/1/page-1.png,"A morning scene in Medina showing Kareem and his father walking through the streets at dawn. They are dressed in traditional Saudi clothing, heading towards their shop. The scene captures the beautiful architecture of Medina, with the morning light creating a peaceful atmosphere. Both characters are drawn in a warm, approachable cartoon style."
1,"التاجر الصغير الأمين",page-2,/public/images/stories/1/page-2.png,"Inside a traditional Arabian perfume shop, showing Kareem helping an elderly man with a walking stick. The shop is decorated with colorful bottles of perfume and spices. The lighting is warm and inviting, and the elderly man has a gentle smile. The scene emphasizes the respectful interaction between young and old."
1,"التاجر الصغير الأمين",page-3,/public/images/stories/1/page-3.png,"A detailed scene of Kareem showing different perfume bottles to the elderly man. The shelves behind them are filled with traditional Arabic perfume bottles and spices. Kareem is shown explaining with animated hand gestures while the elderly man listens attentively. The art style maintains its warm, traditional Middle Eastern atmosphere."
1,"التاجر الصغير الأمين",page-4,/public/images/stories/1/page-4.png,"The elderly man is shown talking to other customers in the marketplace about Kareem's honesty. Kareem and his father are in the background of their shop, with the father's hand proudly on Kareem's shoulder. The scene captures the bustling marketplace atmosphere with various people listening to the elderly man's story."
1,"التاجر الصغير الأمين",page-5,/public/images/stories/1/back.png,"A busy scene of the perfume shop now full of customers. Kareem and his father are serving multiple customers with bright smiles. The shop looks more prosperous, with new displays and a warm, inviting atmosphere. The artistic style emphasizes the joy and success while maintaining traditional Saudi elements."
1,"التاجر الصغير الأمين",back,/public/images/stories/1/back.png,"A group shot showing all the characters from the story: Kareem, his father, the elderly man, and various customers gathered in front of the perfume shop. The Prophet's Mosque is visible in the background. The scene is joyful and celebratory, with traditional Arabic architectural elements framing the composition. Space is left at the bottom for story information. The art style remains consistent with the minimal kids book style used throughout."
2,"تمور الطيبة",cover,/public/images/stories/2/cover.png,"A warm, inviting illustration of a young Saudi girl (Noura) standing in front of a beautiful date palm farm at sunset. She's wearing a colorful traditional dress and holding a decorative woven basket. The palm trees are laden with golden-brown dates. Art style: Pixar-like 3D animation with rich, warm colors. The title 'تمور الطيبة' appears in decorative Arabic calligraphy at the top."
2,"تمور الطيبة",page-1,/public/images/stories/2/page-1.png,"A morning scene in a date palm farm. Noura and her father are collecting dates. Noura is wearing a colorful traditional dress and holding her grandmother's decorated basket. The sun is rising, casting golden light through the palm trees. Art style: Pixar-like 3D animation."
2,"تمور الطيبة",page-2,/public/images/stories/2/page-2.png,"Noura looking thoughtfully at an elderly neighbor (Umm Saad) walking slowly with a cane. Noura is standing by her basket full of dates. The scene shows traditional Saudi houses in the background. Art style: Pixar-like 3D animation."
2,"تمور الطيبة",page-3,/public/images/stories/2/page-3.png,"A heartwarming scene at Umm Saad's traditional door. Noura is offering her basket of dates to the smiling elderly woman. The scene shows traditional Saudi architectural details. Art style: Pixar-like 3D animation."
2,"تمور الطيبة",page-4,/public/images/stories/2/page-4.png,"A cozy family scene inside a traditional Saudi home. Noura is sitting with her parents on traditional cushions, telling them about her day. There's a plate of dates on a traditional coffee table. Art style: Pixar-like 3D animation."
2,"تمور الطيبة",page-5,/public/images/stories/2/page-5.png,"A final scene showing Noura sharing dates with various neighbors in her community. The scene shows multiple generations, traditional clothing, and architecture. Everyone is smiling and happy. The date palms are visible in the background. Art style: Pixar-like 3D animation."
2,"تمور الطيبة",back,/public/images/stories/2/back.png,"A group portrait of all characters from the story: Noura, her parents, grandmother, Umm Saad, and other neighbors, standing together in front of the date palm farm at sunset. Everyone is holding dates or baskets, smiling warmly. The scene captures the story's themes of generosity and community. Art style: Pixar-like 3D animation. Space at the bottom for story information and summary."
3,"فيصل الشجاع في نجران",page-1,/public/images/stories/3/page-1.jpg,"1. **Character Description**:
Faisal is a young Saudi boy from Najran who lives near the mountains with his family. He's a responsible and brave shepherd boy who helps his father tend to their sheep. Despite his young age (likely 8-10 years old), he shows remarkable maturity and courage. He wears traditional Saudi clothing suitable for shepherding and has a strong sense of duty. His character demonstrates wisdom beyond his years, prioritizing others' needs before his own, and showing both physical bravery and moral courage in challenging situations.

2. **Visual Prompts**:

1. 'A picturesque scene of Najran's mountainous landscape with a young Saudi boy in traditional clothes tending to sheep with his father in the foreground'"
